日時	勝利	TOP(B)	KDA	増減	TOP(R)	KDA	増減	JG(B)	KDA	増減	JG(R)	KDA	増減	MID(B)	KDA	増減	MID(R)	KDA	増減	ADC(B)	KDA	増減	ADC(R)	KDA	増減	SUP(B)	KDA	増減	SUP(R)	KDA	増減	ステータス
2026/04/25 22:57:12	BLUE	もり	2	+10	くどりゃふか	0.8	-84	Tama.is.a.dog	4	+201	yukizo	1.4	-158	こんぺい	7	+63	つぼ@雑魚	1	-45	パンティー竹本	1	+11	( ^)o(^ )	3.3	-108	けいろん	5	+126	かずき	2	-80	✅計算済
2026/04/25 23:48:22	RED	もり	0.8	-195	( ^)o(^ )	7	+291	こんぺい	3	-219	Tama.is.a.dog	4	+242	くどりゃふか	4	-99	パンティー竹本	1.3	+58	つぼ@雑魚	1.8	-113	かずき	2.8	+128	けいろん	1.8	-32	gori	1.8	+10	✅計算済
2026/04/27 21:12:00	RED	くらげ	2.5	-6	show	1.5	+10	tamias	0.6	-123	かずき	17	+59	エマ*fam	0	-198	gori	5	+76	つぼ@雑魚	0.4	-87	りくや	18	+155	トラとらお	0.6	-57	こんぺい	8	+31	✅計算済
2026/04/27 21:59:11	RED	くらげ	0	-18	りくや	12	+189	かずき	0.2	-95	トラとらお	20	+87	エマ*fam	1.3	-251	gori	3.3	+52	show	0.3	-101	こんぺい	9.5	+46	けいろん	0.3	-44	tamias	17	+88	✅計算済
2026/04/27 22:44:17	RED	くらげ	0	-67	トラとらお	2	+10	かずき	1	-80	りくや	7	+283	gori	0	-18	エマ*fam	9	+139	こんぺい	0.3	-49	show	8	+49	けいろん	0.3	-38	tamias	6	+77	✅計算済
2026/04/30 22:10:27	BLUE	くらげ	1.5	+54	豆さん	2	-235	トラとらお	16	+87	かずき	1.3	-80	gori	2.8	+46	エマ*fam	1.8	-183	tamias	3.7	+47	もり	1	-62	こんぺい	4.7	+44	yukizo	1.7	-40	✅計算済
2026/04/30 23:10:34	BLUE	もり	2.4	+122	くらげ	3	-62	かずき	2.6	+61	豆さん	2.7	-185	エマ*fam	10.5	+55	トラとらお	3	-5	gori	4.2	+36	tamias	1.6	-30	こんぺい	3.2	+32	yukizo	9	-10	✅計算済
2026/05/01 0:06:57	BLUE	くらげ	14	+27	もり	0.1	-25	豆さん	20	+202	かずき	1.2	-35	tamias	3	+243	こんぺい	0.7	-186	gori	5.3	+67	エマ*fam	1	-47	トラとらお	23	+170	yukizo	1.6	-77	✅計算済
2026/05/01 0:59:48	RED	もり	0.6	-24	くらげ	7.3	+23	かずき	3	-16	豆さん	3.1	+87	エマ*fam	3	-142	こんぺい	17	+190	gori	2.6	-139	tamias	1.4	+157	yukizo	3.2	-60	トラとらお	2.4	+92	✅計算済
2026/05/04 22:07:35	RED	もり	1.3	-20	かずき	1.6	+10	ロックに生きよう	2	-20	lias	7.7	+91	gori	0.9	-32	エマ*fam	5.5	+66	こんぺい	2.1	-36	show	3.5	+32	トラとらお	1.6	-104	tamias	3.8	+12	✅計算済
2026/05/04 22:54:06	RED	かずき	1	-271	もり	2	+52	ロックに生きよう	0.5	-53	lias	10	+55	エマ*fam	0.4	-127	gori	11.5	+61	show	1	-40	こんぺい	27	+44	tamias	0.7	-98	トラとらお	18	+103	✅計算済
2026/05/04 23:36:27	BLUE	ロックに生きよう	1.5	+106	lias	0.4	-285	トラとらお	13	+81	かずき	0.5	-88	gori	15	+61	エマ*fam	0.7	-124	show	10	+50	こんぺい	1.2	-45	tamias	4	+14	もり	1.2	-44	✅計算済
2026/05/06 18:33:51	RED	豆さん	1.4	-56	gori	4.2	+13	tamias	1.8	-174	トラとらお	10	+99	かずき	1.1	-41	こんぺい	5.7	+59	つぼ@雑魚	1.6	-172	けいろん	3.6	+233	ましゃる	1.7	-245	もり	4.8	+158	✅計算済
2026/05/06 19:21:03	BLUE	もり	5	+96	ロックに生きよう	1	-176	豆さん	13	+167	かずき	0.3	-36	ましゃる	10	+326	けいろん	0.3	-188	トラとらお	13	+131	つぼ@雑魚	0	-52	こんぺい	7.5	+52	yukizo	0.5	-52	✅計算済
5/24	BLUE	yukizo	3	+87	かずき	0.5	-118	phil	16	+324	ロックに生きよう	0.5	-149	gori	18	+39	こんぺい	0	-5	エマ*fam	6	+113	tamias	1	-50	もり	2	+33	けいろん	1	-56	✅計算済
5/24	BLUE	ロックに生きよう	1.8	+103	yukizo	2.8	-149	かずき	4.2	+45	tamias	1.8	-42	gori	3.3	+29	こんぺい	3.6	-15	エマ*fam	2.9	+206	phil	2.6	-127	もり	2.2	+39	けいろん	2.9	-45	✅計算済
5/24	BLUE	yukizo	5	+163	ロックに生きよう	0.2	-71	かずき	15	+50	tamias	0.3	-47	gori	6.5	+46	こんぺい	0.7	-37	エマ*fam	5	+175	phil	0.3	-109	けいろん	14	+24	もり	0.7	-22	✅計算済
5/24	BLUE	gori	3	+10	こんぺい	1.5	-44	かずき	12	+44	tamias	2.4	-25	ロックに生きよう	5	+26	yukizo	1	-23	エマ*fam	3.7	+64	phil	1.2	-58	もり	3.3	+47	けいろん	2	-52	✅計算済
2026/05/30 22:14:16	RED	こんぺい	2	-174	ネフィ	1.8	+51	かずき	3.5	-25	tamias	2.5	+24	gori	3.4	-13	エマ*fam	7.2	+35	ぽてとじゃが	2.9	-5	phil	3.7	+46	yukizo	5.7	-5	show	3.8	+39	✅計算済
2026/05/30 23:05:43	BLUE	こんぺい	15	+223	ネフィ	0.4	-137	tamias	7	+46	かずき	1.7	-33	gori	4.2	+45	エマ*fam	2	-41	phil	3.8	+46	ぽてとじゃが	1.9	-21	yukizo	3	+43	show	2.1	-88	✅計算済
2026/05/30 23:58:05	BLUE	ネフィ	3.6	+178	こんぺい	1.3	-101	かずき	3.8	+34	tamias	1.3	-39	エマ*fam	7.3	+38	gori	0.8	-33	phil	3.8	+24	ぽてとじゃが	1.2	-38	show	10.5	+73	yukizo	1.5	-24	✅計算済
